Target Name,Other name,DR3,Planet ID,RA (deg),DEC (deg),dRA (mas/yr),dDEC (mas/yr),Epoch,J_mag,Number of Visits,IsAPlanet?,Period (days),P_sig,T_mid (BJD),T0_sig,T_dur (hours),T_obs (hours),T_tot (hours),VISDA Cadence,NIRDA Cadence,Priority,Program ID,Contact Person,Observational Constraints (if any),Comments,AUX Team Validated?
HD 209458,,,b,330.052992,18.884319,29.766,-17.976,J2000,6.591,10,Yes,3.52474859,3.8E-07,0.3429948798,8.7E-05,2.3,,,10s / 9 ROI (default),default,1,Famous Planets,J. Rowe,Needs consecutive transits,Somewhat famous planet,Yes
KIC 8462852,Tabby's star,,,300.104292,4.456886,-10.375,-10.273,J2000,10.763,-1,No,,,,,,,,,,2,Exotic-Stars,J. Rowe,,Eruptive Variable,
HD 189733,,,,,,,,,,,,,,,,,,,,,2,Famous Planets,J. Rowe,,,
GJ 411,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2095,,,0.03,285.636524,75.418514,203.44,-21.3176,J2000,9.797,-1,drop,,,,,4.7,,,,,2,TOI-2095 TTVs,E. Gilbert,,"Candidate planet, discovery paper in prep per TESS wiki",
TOI-2095,,,b,285.636524,75.418514,203.44,-21.3176,J2000,9.797,-1,,17.664872,5.1E-05,2459646.704,0.0012,2.72,5,,,,2,TOI-2095 TTVs,E. Gilbert,,,
TOI-2095,,,c,285.636524,75.418514,203.44,-21.3176,J2000,9.797,-1,,28.1722,0.00014,2459662.146,0.002,3.12,,,,,2,TOI-2095 TTVs,E. Gilbert,,,
TOI-700,,,b,97.095717,-65.578615,-102.75,161.805,J2000,9.469,-1,,9.97702,0.00024,2458490.987,0.0027,,,,,,2,TOI-700-TTVs,E. Gilbert,July 23 == TOI-700 bonanza,,
TOI-700,,,c,97.095717,-65.578615,-102.75,161.805,J2000,9.469,-1,,16.05111,6.2E-05,2458548.753,0.0005,,,,,,1,TOI-700-TTVs,E. Gilbert,also atmospheres,,
TOI-700,,,e,97.095717,-65.578615,-102.75,161.805,J2000,9.469,-1,,27.80968976,0.00015413604,2458353,0.0056658,,,,,,2,TOI-700-TTVs,E. Gilbert,,,
TOI-700,,,d,97.095717,-65.578615,-102.75,161.805,J2000,9.469,-1,,37.42368383,0.00014945505,2458330.486,0.00401265,,,,,,2,TOI-700-TTVs,E. Gilbert,,,
TOI-700,,,,97.095717,-65.578615,-102.75,161.805,J2000,9.469,-1,,,,,,,,,,,1,TOI-700-general,E. Gilbert,,,Entered as General Program
WOW (Positive Horn),,,,291.37917,-26.95,0,0,J2000,,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,These are likely blank fields,,These are likely blank fields
WOW (Positive Horn),,,,292.09167,-26.95,0,0,J2000,,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,These are likely blank fields,,These are likely blank fields
AU Mic,,,,311.2897187,-31.34089941,281.319,-360.148,J2000,5.43599987,-1,,,,,,,,,,,3,Flare-Stars,E. Gilbert,,,
Proxima,,,,217.4289422,-62.67949019,-3781.741,769.465,J2000,5.356999874,-1,,,,,,,,,,,3,Flare-Stars,E. Gilbert,,,
EV Lac,,,,341.7072136,44.33399288,-706.216,-458.92,J2000,6.105999947,-1,,,,,,,,,,,3,Flare-Stars,E. Gilbert,,,
Wolf 359,,,,164.1205036,7.014723135,-3866.338,-2699.215,J2000,7.085000038,-1,,,,,,,,,,,3,Flare-Stars,E. Gilbert,,,
EQ Peg,,,,352.9674124,19.93726403,554.64,-60.43,J2000,7.446,-1,,,,,,,,,,,3,Flare-Stars,E. Gilbert,,,I band magnitude provided
YZ CMi,,,,116.1673846,3.552465341,-347.782,-445.702,J2000,6.580999851,-1,,,,Add DR3 identification,,,,,,,3,Flare-Stars,E. Gilbert,,,
Barnard's Star,,,,269.452077,4.693364967,-801.551,10362.394,J2000,5.243999958,-1,,,,Adding more bright exoplanet hosts,, ,,,,,3,Flare-Stars,E. Gilbert,,,
HD 101065,Przybylski's Star,,,174.4043373,-46.7096883,-46.673,34.193,J2000,7.110000134,-1,,,,Adding SPARCS,, ,,,,,3,Exotic-Stars,J. Rowe,,Przybylski's Star,
HD 37519,Andrews' Star,,,85.14961392,31.35819952,-5.014,-7.671,J2000,5.776000023,-1,,,,Cycle-4 JWST,,,,,,,3,Exotic-Stars,J. Rowe,,Andrews' Star,
HD 95735,Lalande 21185,,,165.8341451,35.96988227,-580.057,-4776.589,J2000,4.199999809,-1,,,,check for duplicates,,,,,,,3,Exotic-Stars,J. Rowe,,Lalande 21185,
BD+44 2051,Gliese 412,,,166.3690706,43.52677415,-4406.469,938.527,J2000,5.538000107,-1,,,,TOI-700 banana day,,,,,,,3,Exotic-Stars,J. Rowe,,M-star binary,
HD 215441,,,,341.0312698,55.58922528,4.523,-1.244,J2000,8.598999977,-1,,,,actual time needed (min needed),,,,,,,3,Exotic-Stars,J. Rowe,,Magnetic Star,
61 Cygni A,,,,316.7247483,38.74941732,4164.209,3249.614,J2000,3.119999886,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,binary G star,
HD 125823,,,,215.759328,-39.51181793,-24.421,-20.696,J2000,4.929999828,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,He variable,
HD 30353,KS Persei,,,72.22228175,43.27557964,1.6,-1.781,J2000,6.465000153,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,KS Persei,
HD 127617,,,,217.9981573,18.76686954,-0.542,-13.822,J2000,8.907999992,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,Be variable,
HD 50169,,,,102.9967835,-1.644553366,-5.421,-0.409,J2000,8.901000023,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,Magnetic Star,
HD 6090,,,,15.07907761,-72.7432813,35.409,0.563,J2000,9.229000092,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,flare star,
SDSS J102915.14+172927.9,UCAC3 215-112497,,,157.3131208,17.49109017,-10.72,-3.921,J2000,15.51000023,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,Ultra metal poor star,
HD 184738,,,,293.688474,30.51637518,-2.251,-8.807,J2000,9.305999756,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,Wolf Rayet / PN,
BD-16 251,,,,22.3797131,-16.01263759,11.738,-42.787,J2000,10.05300045,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,Metal poor star,
RU Lupi,,,,239.1762953,-37.82096499,-11.457,-23.211,J2000,8.732000351,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,T-Tauri star,
IM Lupi,,,,239.0383611,-37.93503503,-12.059,-23.727,J2000,8.782999992,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,YSO,
R Leporis,,,,74.90145288,-14.80625069,6.679,-1.263,J2000,2.140000105,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,variable C-star,
HD 304043,,,,169.0008519,-57.54765975,-2468.407,1184.175,J2000,7.81099987,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,M3.5 dwarf,
HD 33793,Kapteyn's Star,,,77.91912433,-45.01843382,6491.223,-5708.614,J2000,5.821000099,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,Kapteyn's Star,
HD 188136,,,,300.882267,-78.83074927,1.902,-8.861,J2000,7.245999813,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,,
HD 114762,Latham's star,,,198.0822545,17.51711954,-580.999,1.062,J2000,6.144999981,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,F-dwarf + BD (Latham's star),
GJ 273,,,,111.852079,5.225789303,571.232,-3691.487,J2000,5.714000225,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,M-dwarf + RV planets,
AO Cassiopeiae,,,,4.429430472,51.4330879,-2.988,-2.374,J2000,6.282999992,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,O binary,
V733 Cephei,,,,343.3885746,62.53989705,-0.433,-2.214,J2000,10.84799957,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,FU Orionis,
HR 2422,Plaskett's Star,,,99.35017536,6.135380307,-2.07,1.226,J2000,5.827000141,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,Plaskett's Star,
HD 124448,,,,213.7442886,-46.28869281,-6.544,-0.049,J2000,10.10599995,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,He star,
V4334 Sagittarii,,,,268.136223,-17.68556,0,0,J2000,11.55500031,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,Sakurai's Object,
SS Cygni,,,,325.6783477,43.5860744,112.385,33.315,J2000,10.02999973,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,Eruptive variable,
TRAPPIST-1,,,,346.6223687,-5.041399251,930.788,-479.038,J2000,11.35400009,-1,,,,,,,,,,,1,Famous Planets,B. Rackham,"Eric Agol's TTV analysis strongly suggests the presence of an eighth, Mars-sized planet. JWST is doing a DDT observation on Dec. 11 to try to catch it. If that observation is not successful, there may be some other windows worth looking at with Pandora.",,Using Query to autofill RA/DEC
Neptune,Solar System,,,0,0,0,0,,,1,,,,,,,24,,,,1,Solar-system,J. Rowe,"proper motion, cover rotation period",Check if JWST or HST program,RA/DEC need to be calculated for a specific date
Uranus,Solar System,,,0,0,0,0,,,1,,,,,,,24,,,,1,Solar-system,J. Rowe,proper motion,Check if JWST or HST program,RA/DEC need to be calculated for a specific date
K2-141,,,,350.9165455,-1.1892913,116.325,25.214,J2000,9.086000443,-1,,,,,,,,,,,2,Kepler-targets,,,,
Kepler-444,,,,289.7522871,41.63460623,94.639,-632.269,J2000,7.243999958,-1,,,,,,,,,,,2,Kepler-targets,,"Halo object, small planets",,
KOI-13,,,,286.9712706,46.8683345,-4.7,-15.2,J2000,9.465999603,-1,,,,,,,,,,,2,Kepler-targets,,"A-star, very hot Jupiter",,
Kepler-37,,,,284.059615,44.51816378,-60.396,48.657,J2000,8.355999947,-1,,,,,,,,,,,2,Kepler-targets,,TTV target,,
K2-33,,,b,242.5613621,-19.3193864,-9.709,-23.986,J2015.5,11.095,1,,5.424865,3.5E-05,2456898.693,0.00118,4.08,,,,,2,Young-Planets,A. Mann,,,
IRAS04125+2902,TIDYE-1,,b,63.92833938,29.16654196,12.336,-17.75,J2015.5,10.709,1,,8.834978,2.8E-05,2458821.825,0.0033,5.995,,,,,2,Young-Planets,A. Mann,,,
KELT-11,HD 93396,,b,161.7072508,-9.399026513,-79.16,-78.507,J2000,6.616,1,,4.73620865,3.77E-06,2455498.959,0.00178,7,24,,,,3,Inflated-Planets,K. Colon,"bright target technically outside saturation limit, one transit requested (note long transit duration)",,
KELT-11,HD 93396,,,161.7072508,-9.399026513,-79.16,-78.507,J2000,6.616,-1,,,,,,,,,,,3,Inflated-Planets,K. Colon,"bright target technically outside saturation limit, not time critical, happy with 45-90 hours to monitor star or as much as is available, propose monitoring regularly for stellar activity, could be a bright target test for the observatory",,
BD+05 4868 A,TIC 466376085,,b,326.8605125,6.604860562,205.593,106.359,J2000,8.113,-1,,1.271869,1E-06,2460556.289,0.0003,,,,,,3,Disintegrating-Planets,K. Colon,"disintegrating planet with P=1.27 days, propose to monitor anytime, happy with 60-120 hours monitoring as available, https://ui.adsabs.harvard.edu/abs/2025ApJ...984L...3H/abstract",,
KELT-9,,,b,307.8598998,39.93891613,16.73,21.48,J2015.5,7.458,1,,1.4811235,1.1E-06,2457095.686,0.00014,4.1588,44.706,,,,1,Phase Curves,K. Stevenson,,Start 3 hours before secondary eclipse,
TOI-2109,,,b,253.1862971,16.57991531,-8.314,-9.351,J2015.5,9.382,3,,0.6724741,2E-05,2458984.389,0.00042,1.801,22.94,,,,1,Phase Curves,K. Stevenson,,Start 3 hours before secondary eclipse,
WASP-12,,,b,97.63664477,29.67226537,-1.519,-6.761,J2016.0,10.477,3,,1.0914189,,2454508.976,0.00146,3.001,34.195,,,,1,Phase Curves,K. Stevenson,Binary companion,Start 3 hours before secondary eclipse,
Luhman 16,WISE J104915.57-531906.1,,,162.328814,-53.319466,-2767.502,356.856,J2000,10.7329998,-1,,0.2029166667,,,,,,,,,0,BD Lightcurve,N. Fuda,At least 5x rotation periods is ideal,,
2M2139,2MASS J21392676+0220226,,,324.861539,2.339638,485.9,124.8,J2000,15.26399994,-1,,0.3174166667,,,,,,,,,0,BD Lightcurve,N. Fuda,,,
SIMP J013656.5+093347.3,SIMP0136,,,24.23566892,9.563142213,1238.244,-16.156,J2000,13.25199986,-1,,0.1005833333,,,,,,,,,0,BD Lightcurve,N. Fuda,,,
VHS J125601.92-125723.9,VHS1256-1257 b,,,194.0088904,-12.95609009,-272.462,-190.239,J2000,11.01799965,-1,,0.9183333333,,,,,,,,,0,BD Lightcurve,N. Fuda,,,
PSO J318.5338-22.8603,PSO 318.5−22,,,318.53344,-22.859955,136.3,-144.3,J2000,16.70599937,-1,,0.35875,,,,,,,,,0,BD Lightcurve,N. Fuda,,,
TOI-1338,,,b,92.133198,-59.54113381,-12.057,34.513,J2000,10.95,1,,95,,2461120.615,0.0333,12.85,48.000,,,,0,Circumbinary-Planets,K. Colon,,"March 21, 2026 transit",
TOI-1338,,,b,92.133198,-59.54113381,-12.057,34.513,J2000,10.95,1,,95,,2461214.398,0.0188,6.14,24.000,,,,0,Circumbinary-Planets,K. Colon,,"June 22, 2026 transit",
TOI-1338,,,b,92.133198,-59.54113381,-12.057,34.513,J2000,10.95,1,,95,,2461308.126,0.0468,13.48,48,,,,0,Circumbinary-Planets,K. Colon,,"September 24, 2026 transit",
TOI-1338,,,b,92.133198,-59.54113381,-12.057,34.513,J2000,10.95,1,,95,,2461403.137,0.0272,6.66,24,,,,0,Circumbinary-Planets,K. Colon,,"December 28, 2026 transit",
TIC 46432937,2MASS J05352856-1435504,,,83.869039,-14.59735,-13.4,36.921,J2000,11.011,-1,,,,,,,,,,,3,GEMs-Hosts,L. Wiser,,,
WASP-80,,,,303.167372,-2.144219,-132.913,-50.683,J2000,9.218,-1,,,,,,,,,,,2,GEMs-Hosts,L. Wiser,,"Is already a primary target, but including here in case that has changed.",
WASP-43,,,,154.90837,-9.806279,-41.992,-38.004,J2000,9.995,-1,,,,,,,,,,,2,GEMs-Hosts,L. Wiser,,,
WASP-6,,,,348.157237,-22.673965,-23.264,-37.143,J2000,10.769,-1,,,,,,,,,,,2,GEMs-Hosts,L. Wiser,,,
WASP-79,,,b,66.37090275,-30.60044743,-0.222,2.615,J2000,9.298999786,-1,,3.6623907,7E-07,2459196.644,0.0001,,,,,,2,Sweet-Planets,T. Foote,,,
J04144730+2646264,,,,63.697121,26.773956,,,J2000,,-1,,26.6,,,,,,,,,3,TBOSS young-ish M+L dwarfs in Taurus region with ALMA obs,A.Iyer,,,"Nothing is resolved via Simbad within 60"""
J04555605+3036209,,,,73.983562,30.605822,,,J2000,,-1,,,,,,,,,,,3,TBOSS,A.Iyer,,,"Nothing is resolved via Simbad within 60"""
J05075496+2500156,,,,76.979025,25.004336,,,J2000,,-1,,,,,,,,,,,3,TBOSS,A.Iyer,,,"Nothing is resolved via Simbad within 60"""
J04385859+2336351,,,,69.744163,23.609767,,,J2000,,-1,,,,,,,,,,,3,TBOSS,A.Iyer,,,"Nothing is resolved via Simbad within 60"""
J04190110+2819420,,,,64.754608,28.328347,,,J2000,,-1,,6.5,,,,,,,,,3,TBOSS,A.Iyer,,,"Nothing is resolved via Simbad within 60"""
J04161210+2756385,,,,64.050433,27.94405,,,J2000,,-1,,,,,,,,,,,3,TBOSS,A.Iyer,,,"Nothing is resolved via Simbad within 60"""
J04322210+1827426,,,,68.092121,18.461844,,,J2000,,-1,,5.8,,,,,,,,,3,TBOSS,A.Iyer,,,"Nothing is resolved via Simbad within 60"""
J04334465+2615005,,,,68.43605,26.250147,,,J2000,,-1,,,,,,,,,,,3,TBOSS,A.Iyer,,,"Nothing is resolved via Simbad within 60"""
J04393364+2359212,,,,69.890187,23.989231,,,J2000,,-1,,,,,,,,,,,3,TBOSS,A.Iyer,,,"Nothing is resolved via Simbad within 60"""
J04394488+2601527,,,,69.936995,26.031331,,,J2000,,-1,,,,,,,,,,,3,TBOSS,A.Iyer,,,"Nothing is resolved via Simbad within 60"""
J04202555+2700355,,,,65.106475,27.009875,,,J2000,,-1,,,,,,,,,,,3,TBOSS,A.Iyer,,,"Nothing is resolved via Simbad within 60"""
J04284263+2714039,,,,67.177646,27.23442,,,J2000,,-1,,,,,,,,,,,3,TBOSS,A.Iyer,,,"Nothing is resolved via Simbad within 60"""
J04213459+2701388,,,,65.394163,27.027458,,,J2000,,-1,,,,,,,,,,,3,TBOSS,A.Iyer,,,"Nothing is resolved via Simbad within 60"""
J04181710+2828419,,,,64.571275,28.478311,,,J2000,,-1,,,,,,,,,,,3,TBOSS,A.Iyer,,,"Nothing is resolved via Simbad within 60"""
J04230607+2801194,,,,65.775304,28.022081,,,J2000,,-1,,,,,,,,,,,3,TBOSS,A.Iyer,,,"Nothing is resolved via Simbad within 60"""
J04262939+2624137,,,,66.622467,26.403831,,,J2000,,-1,,,,,,,,,,,3,TBOSS,A.Iyer,,,"Nothing is resolved via Simbad within 60"""
J04292165+2701259,,,,67.340229,27.023875,,,J2000,,-1,,,,,,,,,,,3,TBOSS,A.Iyer,,,"Nothing is resolved via Simbad within 60"""
J04390163+2336029,,,,69.756792,23.600831,,,J2000,,-1,,,,,,,,,,,3,TBOSS,A.Iyer,,,"Nothing is resolved via Simbad within 60"""
J04400067+2358211,,,,70.002817,23.972547,,,J2000,,-1,,,,,,,,,,,3,TBOSS,A.Iyer,,,"Nothing is resolved via Simbad within 60"""
GJ 94,Ross 19A,,,34.76253826,35.35516682,670.532,-427.412,J2000,8.661999702,-1,,,,,,,,,,,2,benchmark M+T pairs,A.Iyer,,,
LP 738-14,LHS 2803A,,,207.0303169,-13.74211094,-687.92,-513.014,J2000,10.41300011,-1,,,,,,,,,,,2,M+T pairs,A.Iyer,,,
Wolf 940,Wolf 940 A,,,326.6684287,-0.1732698617,769.366,-505.682,J2000,8.36400032,-1,,,,,,,,,,,2,M+T pairs,A.Iyer,,,
SCR J1845-6357,SCR 1845-6357A,,,281.2718885,-63.96318059,2583.19,588.504,J2000,9.543999672,-1,,,,,,,,,,,2,M+T pairs,A.Iyer,,,
J11145133-2618235,J11145133-2618235 A,,,168.71389,-26.30654,,,J2000,,-1,,,,,,,,,,,2,M+T pairs,A.Iyer,,,
TOI-519,,,b,124.606752,-19.662788,-41.95928,29.07408963,J2016,12.847,1,,1.2652328,5E-07,2459013.15,3.6E-05,1.236,3,,,,2,GEMS-Targets,K.Colón,,"JWST proposal, RM observations, Known rotation period",
TIC 46432937,,,,83.86897753,-14.597186,-13.365364,36.96160276,J2016,11.011,-1,,,,,,,,,,,3,GEMS-Targets,K.Colón,,,
TOI-4860,,,,183.5639357,-13.174842,-177.23784,-5.429532,J2016,12.056,-1,,,,,,,,,,,3,GEMS-Targets,K.Colón,,,
TOI-5205,,,b,313.7706883,24.36098424,41.677991,52.07351986,J2016,11.926,1,,1.630757,1E-06,2459443.47,0.00019,1.4,3,,,,2,GEMS-Targets,K.Colón,,"JWST proposal, RM observations, Known rotation period, prioritize this one above the other priority 2s in this program",
HATS-74 A,,,,171.0147863,-19.556953,-38.992262,39.57832196,J2016,13.25,-1,,,,,,,,,,,3,GEMS-Targets,K.Colón,,,
TOI-6383 A,,,,60.42470678,60.89136061,41.02332917,-51.298821,J2016,12.985,-1,,,,,,,,,,,3,GEMS-Targets,K.Colón,,,
TOI-5616,,,,184.9016288,48.6832935,-42.985469,28.53114566,J2016,13.566,-1,,,,,,,,,,,3,GEMS-Targets,K.Colón,,,
TOI-2384,,,,36.15614935,-65.000203,9.257461139,-52.661983,J2016,11.997,-1,,,,,,,,,,,3,GEMS-Targets,K.Colón,,,
TOI-3714,,,b,69.55234508,39.4579936,19.8261198,-70.762318,J2016,11.736,1,,2.154849,1E-06,2458840.51,0.0004,1.66,4,,,,2,GEMS-Targets,K.Colón,,"JWST proposal, RM observations, Known rotation period",
TOI-5634 A,,,,175.6436276,20.96528862,-60.798966,-25.488106,J2016,13.696,-1,,,,,,,,,,,3,GEMS-Targets,K.Colón,,,
Kepler-45,,,,292.8729301,41.06416971,4.64553337,-21.58933,J2016,13.749,-1,,,,,,,,,,,3,GEMS-Targets,K.Colón,,,
TOI-6034,,,b,317.9001383,68.40207548,-2.4297513,-5.1089507,J2016,11.901,1,,2.576184,2E-06,2459883.91,0.0003,1.56,4,,,,2,GEMS-Targets,K.Colón,,"RM observations, Known rotation period",
TOI-3235,,,b,207.4738147,-46.066523,-170.50326,-64.263741,J2016,11.706,1,,2.59261842,4.1E-07,2459690,4.5E-05,1.48,3,,,,2,GEMS-Targets,K.Colón,,JWST proposal,
NGTS-1,,,,82.7142078,-36.630987,-31.886874,-41.0772,J2016,12.702,-1,,,,,,,,,,,3,GEMS-Targets,K.Colón,,,
TOI-7149,,,b,244.7384645,19.17581334,-7.6980853,12.88222562,J2016,13.158,1,,2.65206166,8E-07,2459703.6,0.00029,1.7256,4,,,,2,GEMS-Targets,K.Colón,,"RM observations, Known rotation period, prioritize this one above the other priority 2s in this program",
HATS-75,,,b,60.9493939,-25.408922,12.71643254,-1.6865482,J2016,12.481,1,,2.7886556,1.1E-06,2458611.05,0.00027,1.91256,4,,,,2,GEMS-Targets,K.Colón,,JWST proposal,
TOI-7189,,,b,273.0378982,2.188259147,3.819510037,-22.495112,J2016,12.462,1,,2.89049008,2.16E-04,2460503.95,0.00105944,2.06696928,5,,,,2,GEMS-Targets,K.Colón,,,
TOI-5293 A,,,b,355.8286797,-2.0450944,-17.130829,0.4865740045,J2016,12.465,1,,2.930289,4E-06,2459448.91,0.0004,1.94,4,,,,2,GEMS-Targets,K.Colón,,"JWST proposal, RM observations, Known rotation period",
TOI-5688 A,,,,266.9230999,47.7050576,-0.9095126,64.92994327,J2016,12.857,-1,,,,,,,,,,,3,GEMS-Targets,K.Colón,,,
TOI-5671,,,b,211.0092117,38.61833306,-44.599247,15.048694,J2016,13.247,1,,3.307823,2.1E-06,2458931.57,6.1E-04,1.8192,4,,,,2,GEMS-Targets,K.Colón,,,
TOI-5349,,,b,52.71257582,20.87962519,37.20298692,-19.559283,J2016,12.434,1,,3.317921,1.83E-06,2459521.82,0.00056,1.95264543,4,,,,2,GEMS-Targets,K.Colón,,,
HATS-6,,,b,88.1468075,-19.031626,-2.5683453,7.370648042,J2016,12.046,1,,3.3252725,2.1E-06,2456643.74,8.4E-05,2.04096,5,,,,2,GEMS-Targets,K.Colón,,JWST proposal,
TOI-6894,,,b,173.4691209,12.45109371,-146.89665,22.22712981,J2016,13.169,1,,3.37077196,5.9E-07,2460313.41,4.2E-05,1.422,3,,,,2,GEMS-Targets,K.Colón,,JWST proposal,
TOI-3757,,,b,91.0036401,55.01997327,-9.0321701,-43.127731,J2016,12,1,,3.438753,4E-06,2458838.77,6.2E-04,1.92,4,,,,2,GEMS-Targets,K.Colón,,JWST proposal,
TOI-762 A,,,,166.0747093,-47.8215,-159.17382,-24.780004,J2016,11.999,-1,,,,,,,,,,,3,GEMS-Targets,K.Colón,,,
TOI-4201,,,,90.47472534,-13.46137,11.73129524,6.05272766,J2016,12.258,-1,,,,,,,,,,,3,GEMS-Targets,K.Colón,,,
TOI-5344,,,,63.2662225,20.91515376,40.32468568,-22.194083,J2016,11.799,-1,,,,,,,,,,,3,GEMS-Targets,K.Colón,,,
HATS-71,,,,15.55191249,-61.756137,79.12762958,-26.985287,J2016,12.605,-1,,,,,,,,,,,3,GEMS-Targets,K.Colón,,,
TOI-3629,,,,359.7934185,39.31425571,185.7073444,1.010091588,J2016,11.424,-1,,,,,,,,,,,3,GEMS-Targets,K.Colón,,,
TOI-7265,,,b,318.7040242,45.9259053,29.92963034,-28.849833,J2016,12.419,1,,4.17231795,4.27E-06,2460576.09,0.00108,1.98767688,4,,,,2,GEMS-Targets,K.Colón,,,
TOI-2379,,,,358.0920504,-53.043156,16.57461107,1.749906734,J2016,12.388,-1,,,,,,,,,,,3,GEMS-Targets,K.Colón,,,
TOI-530,,,,103.4128353,12.8815697,13.62178524,-62.523968,J2016,12.112,-1,,,,,,,,,,,3,GEMS-Targets,K.Colón,,,
TOI-6330,,,,22.16797316,53.68607159,-36.515701,-45.079653,J2016,12.368,-1,,,,,,,,,,,3,GEMS-Targets,K.Colón,,,
TOI-5573,,,,136.425999,55.30712296,-3.5855027,-56.840513,J2016,12.305,-1,,,,,,,,,,,3,GEMS-Targets,K.Colón,,,
TOI-6303,,,,46.78065615,40.14716908,33.0354989,-35.352131,J2016,11.679,-1,,,,,,,,,,,3,GEMS-Targets,K.Colón,,,
K2-419 A,,,,135.0194832,13.27370183,-71.336085,-27.145633,J2016,13.358,-1,,,,,,,,,,,3,GEMS-Targets,K.Colón,,,
TOI-1899,,,b,299.4268536,40.14334886,35.42286682,18.84343401,J2016,11.342,1,,29.090312,3.6E-05,2458711.96,0.001116,4.7,8,,,,2,GEMS-Targets,K.Colón,,JWST proposal,
EPIC-212813907,,,b,206.8325545,-5.1060856,-21.776496,-2.1942713,J2016,12.531,1,,452.296025,1.03E+00,2458213.823,0.000495,15.88,24,,,,1,GEMS-Targets,K.Colón,,"Long period planet, prioritize this one above the other priority 2s in this program",
TOI-519,,,,124.606752,-19.662788,-41.95928,29.07408963,J2016,12.847,-1,,,,,,,,,,,2,GEMS-Targets,K.Colón,,"JWST proposal, RM observations, Known rotation period",
TOI-5205,,,,313.7706883,24.36098424,41.677991,52.07351986,J2016,11.926,-1,,,,,,,,,,,2,GEMS-Targets,K.Colón,,"JWST proposal, RM observations, Known rotation period",
TOI-3714,,,,69.55234508,39.4579936,19.8261198,-70.762318,J2016,11.736,-1,,,,,,,,,,,2,GEMS-Targets,K.Colón,,"JWST proposal, RM observations, Known rotation period",
TOI-6034,,,,317.9001383,68.40207548,-2.4297513,-5.1089507,J2016,11.901,-1,,,,,,,,,,,2,GEMS-Targets,K.Colón,,"RM observations, Known rotation period",
TOI-3235,,,,207.4738147,-46.066523,-170.50326,-64.263741,J2016,11.706,-1,,,,,,,,,,,2,GEMS-Targets,K.Colón,,JWST proposal,
TOI-7149,,,,244.7384645,19.17581334,-7.6980853,12.88222562,J2016,13.158,-1,,,,,,,,,,,2,GEMS-Targets,K.Colón,,"RM observations, Known rotation period",
HATS-75,,,,60.9493939,-25.408922,12.71643254,-1.6865482,J2016,12.481,-1,,,,,,,,,,,2,GEMS-Targets,K.Colón,,JWST proposal,
TOI-7189,,,,273.0378982,2.188259147,3.819510037,-22.495112,J2016,12.462,-1,,,,,,,,,,,2,GEMS-Targets,K.Colón,,,
TOI-5293 A,,,,355.8286797,-2.0450944,-17.130829,0.4865740045,J2016,12.465,-1,,,,,,,,,,,2,GEMS-Targets,K.Colón,,"JWST proposal, RM observations, Known rotation period",
TOI-5671,,,,211.0092117,38.61833306,-44.599247,15.048694,J2016,13.247,-1,,,,,,,,,,,2,GEMS-Targets,K.Colón,,,
TOI-5349,,,,52.71257582,20.87962519,37.20298692,-19.559283,J2016,12.434,-1,,,,,,,,,,,2,GEMS-Targets,K.Colón,,,
HATS-6,,,,88.1468075,-19.031626,-2.5683453,7.370648042,J2016,12.046,-1,,,,,,,,,,,2,GEMS-Targets,K.Colón,,JWST proposal,
TOI-6894,,,,173.4691209,12.45109371,-146.89665,22.22712981,J2016,13.169,-1,,,,,,,,,,,2,GEMS-Targets,K.Colón,,JWST proposal,
TOI-3757,,,,91.0036401,55.01997327,-9.0321701,-43.127731,J2016,12,-1,,,,,,,,,,,2,GEMS-Targets,K.Colón,,JWST proposal,
