Target Name,Other name,DR3,Planet ID,RA (deg),DEC (deg),dRA (mas/yr),dDEC (mas/yr),Epoch,J_mag,Number of Visits,IsAPlanet?,Period (days),P_sig,T_mid (BJD),T0_sig,T_dur (hours),T_obs (hours),T_tot (hours),VISDA Cadence,NIRDA Cadence,Priority,Program ID,Contact Person,Observational Constraints (if any),Comments,AUX Team Validated?
spec-56292-GAC089N16V1_sp04-102,,3348827404175942656,,89.42,16.0280236,-1.46563764,-3.308368399,J2000,12,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56292-GAC089N16V1_sp04-196,,3349590087288529408,,89.02,16.16029865,-1.747116688,-2.346302154,J2000,11.25,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56292-GAC089N16V1_sp05-055,,3348799297909993472,,88.83,15.72650755,-0.4888099111,-2.755682368,J2000,10.81,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56292-GAC089N16V1_sp07-079,,3345437987784633216,,90.82,14.58618362,-1.249452748,-5.2189942,J2000,11.43,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56292-GAC089N16V1_sp08-016,,3348661584078591488,,90.08,15.78374737,0.8181740265,-2.752927563,J2000,11.87,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56292-GAC089N16V1_sp08-087,,3348699658967135872,,90.74,16.09919216,1.152272023,-5.831238804,J2000,10.42,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56292-GAC089N16V1_sp10-027,,3347998067469603584,,87.32,15.52221621,0.6068429119,-0.8746475984,J2000,12.49,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56292-GAC089N16V1_sp11-084,,3350422628048143488,,89.14,18.00089311,-0.3691483047,-2.574390608,J2000,12.14,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56292-GAC089N16V1_sp15-195,,3349785117462761984,,88.82,16.99577618,0.3021328327,-0.5757803312,J2000,12.93,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56292-GAC089N16V2_sp03-131,,3349692380529087872,,88.54,16.90788697,0.9471075995,-1.793825473,J2000,10.73,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56292-GAC089N16V2_sp06-046,,3349068746978247808,,91.22,16.22281531,0.6700389012,-2.469347276,J2000,11.47,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
